"Prodotto","Categoria","Prezzo","Marca","Rating"
"Patate da bollire 1,5 kg","Frutta e verdura","€ 2,48","Carrefour","4.1/5"
"Zucca delica tonda sfusa origine Italia categoria I","Frutta e verdura","€ 3,86","Zucca","4.0/5"
"Fiorentina di scottona premium con 21 giorni di frollatura","Carne","€ 16,49","Banco macelleria Carrefour",""
"Costata con osso delle Masurie premium","Carne","€ 14,49","Banco macelleria Carrefour",""
"Bolla Prosecco DOC Rosé Extra Dry Millesimato 750 ml","Vino","€ 8,49","Bolla","4.5/5"
"Piccini Collezione Oro Chianti Riserva DOCG 750 ml","Vino","€ 7,93","Piccini","4.5/5"
"Carrefour Classic Latte UHT Parzialmente Scremato Microfiltrato 1000 ml","Uova, latte e latticini","€ 1,19","Carrefour","4.5/5"
"Carrefour Panna da cucina 200 ml","Uova, latte e latticini","€ 1,09","Carrefour","4.3/5"
"Heineken Original 66 cl","Birra e liquori","€ 1,59","Heineken","4.4/5"
"Carrefour 2 Gomme Plastica","Articoli per la casa","€ 0,99","Carrefour","4.0/5"
"Carrefour 4 Penne a sfera colori assortiti","Articoli per la casa","€ 1,49","Carrefour",""
"Barilla Emiliane Tortellini all'uovo 250g","Pasta, riso e farina","€ 2,15","Barilla","4.5/5"
"Giovanni Rana Gnocchetti Freschi di Patate 500 g","Pasta, riso e farina","€ 2,75","Giovanni Rana","4.6/5"
"Carrefour Classic Primo Sale 200 g","Salumi e formaggi","€ 1,89","Carrefour","4.1/5"
