"Autore","Nazione","Titolo","Collezione","Data","Identificativo","Data di acquisizione"
"Anonyme","Espagne","Nature morte au chou","Département des Peintures","1630 / 1650 (XVIIe siècle)","RF 1952 19 ; D 52 1 1","date : 1952 (d'achat)"
"Italie","Pignoni, Simone","Vierge à l'Enfant","Département des Peintures","1600 / 1700 (XVIIe siècle)","MI 1185","date : 1869"
"Bril, Paul","Pays-Bas du Sud","Paysage","Département des Peintures","1620","INV 1119 ; MR 1002",""
"Chalette, Jean","France","Sainte Famille","Département des Peintures","1600 / 1700 (XVIIe siècle)","RF 1960 55",""
"ANONYME FRANCAIS XVIIè s","","Profil de femme casquée","","INV 33664, Recto","Département des Arts graphiques",""
"ANONYME FRANCAIS XVIIè s","","La Vierge assise contemplant l'Enfant Jésus endormi","","INV 33662, Recto","Département des Arts graphiques","1671"
"ANONYME FRANCAIS XVIIè s","","Ecu des ville et châtellenie de Bergues","","INV 33677.17, Recto","Département des Arts graphiques",""
"","","figurine","","E 1874 ; Clot bey C 21 F n°567","Département des Antiquités égyptiennes","date de l'inscription sur l'inventaire : 1852"
"Anonyme","Russie","Le Christ Pantocrator","Département des Peintures","1903","RF 1978 26","date : 1978"
"","","figurine","Département des Antiquités égyptiennes","Lieu de découverte : Zaouiyet el-Mayetin = Zaouiyet el-Amwat (Moyenne Égypte->rive est Moyenne Égypte)","E 32231","date de l'inscription sur l'inventaire : 1950
date de comité/commission : 01/02/1951
date du conseil : 08/02/1951
date d'arrivée au Musée : 1992"
"","","serviteur funéraire momiforme","Département des Antiquités égyptiennes","-1550 / -1069 (Nouvel Empire ; XXe dynastie)","E 23930","date de l'inscription sur l'inventaire : 1950
date de comité/commission : 01/02/1951
date du conseil : 08/02/1951
date d'arrivée au Musée : 1992"
"","","tissu miniature ; perle","E 27366","-1686 / -1069 (Nouvel Empire ; Deuxième Période intermédiaire)","Lieu de découverte : Gebel Zeit (les déserts égyptiens->désert oriental et mer Rouge)","date de l'inscription sur l'inventaire : 1986"
"","","tissu miniature ; perle","E 27375","-1786 / -1069(?) (Deuxième Période intermédiaire ; Nouvel Empire)","Lieu de découverte : Gebel Zeit (les déserts égyptiens->désert oriental et mer Rouge)","date de l'inscription sur l'inventaire : 1986"
"","","bague en anneau mince","E 27307","-1786 / -1069(?) (Deuxième Période intermédiaire ; Nouvel Empire)","Lieu de découverte : Gebel Zeit (les déserts égyptiens->désert oriental et mer Rouge)","date de l'inscription sur l'inventaire : 1986"
"","","amulette","","N 3710","Département des Antiquités égyptiennes","date de l'inscription sur l'inventaire : 16/02/1857 (au plus tard)"
"","","tissu miniature ; perle","E 27379","-1786 / -1069(?) (Deuxième Période intermédiaire ; Nouvel Empire)","Lieu de découverte : Gebel Zeit (les déserts égyptiens->désert oriental et mer Rouge)","date de l'inscription sur l'inventaire : 1986"
"","","ostracon","AF 12289","641 / 1952 (époque islamique)","Lieu de découverte : Medinet Habou = Djémé (Thèbes Ouest->Thèbes->région thébaine = région de Thèbes)",""
"","","étiquette de momie en palette ; étiquette de momie biface","Département des Antiquités égyptiennes","0 / 199 (Haut Empire)","E 9338","date de l'inscription sur l'inventaire : 1889"
"","","papyrus","Département des Antiquités égyptiennes","395 / 641 (époque byzantine)","E 8378","date de l'inscription sur l'inventaire : 1887"
"","","vase","Département des Antiquités égyptiennes","395 / 641 (époque byzantine)","AF 12449",""
"","","décor architectural ; panneau","AF 4874 ; X 3348","530 / 640 (époque byzantine)","Lieu de découverte : chapelle c (église sud->Baouit->rive ouest Moyenne Égypte) (mur sud)","date d'arrivée au Musée : 1903"
"","","bouchon d'amphore","E 27560","395 / 641 (époque byzantine)","Lieu de découverte : Baouit (rive ouest Moyenne Égypte->Moyenne Égypte->Égypte)","date de l'inscription sur l'inventaire : 1994"
"","","bouchon d'amphore","E 32606","395 / 641 (époque byzantine)","Lieu de découverte : Baouit (rive ouest Moyenne Égypte->Moyenne Égypte->Égypte) (?)","date de l'inscription sur l'inventaire : 2000"
"Léonard de Vinci (Leonardo di ser Piero da Vinci, dit Leonardo da Vinci)","Italie","Portrait de Lisa Gherardini, épouse de Francesco del Giocondo, dit La Joconde ou Monna Lisa","Département des Peintures","1503 / 1519 (1e quart du XVIe siècle)","INV 779 ; MR 316","date : 1793"
