"Nazione","PPG","Esperienza","RPG","APG","Nome","PIE","Cognome","Squadra"
"Nigeria","8.8","2 Years","7.0","1.3","PRECIOUS","10.5","ACHIUWA","Toronto Raptors | #5 | Forward"
"","","","","","","","",""
"USA","19.1","5 Years","9.1","3.4","BAM","12.9","ADEBAYO","Miami Heat | #13 | Center-Forward"
"Spain","9.8","1 Year","6.2","0.9","SANTI","8.2","ALDAMA","Memphis Grizzlies | #7 | Forward-Center"
"USA","10.1","4 Years","2.7","2.5","GRAYSON","8.7","ALLEN","Milwaukee Bucks | #12 | Guard"
"USA","14.0","5 Years","11.5","1.2","JARRETT","13.9","ALLEN","Cleveland Cavaliers | #31 | Center"
"USA","7.7","1 Year","2.0","2.8","JOSE","7.9","ALVARADO","New Orleans Pelicans | #15 | Guard"
"Greece","0.8","3 Years","1.3","0.1","KOSTAS","0.5","ANTETOKOUNMPO","Chicago Bulls | #37 | Forward"
"Greece","--","4 Years","0.7","0.1","THANASIS","2.8","ANTETOKOUNMPO","Milwaukee Bucks | #43 | Forward"
"USA","15.5","2 Years","4.8","4.3","COLE","10.2","ANTHONY","Orlando Magic | #50 | Guard"
"United Kingdom","17.3","5 Years","6.1","1.9","O.G.","9.6","ANUNOBY","Toronto Raptors | #3 | Forward"
"USA","--","5 Years","0.7","0.3","RYAN","10.0","ARCIDIACONO","New York Knicks | #51 | Guard"
"Israel","6.9","2 Years","4.4","1.9","DENI","5.7","AVDIJA","Washington Wizards | #9 | Forward"
"Bahamas","14.6","4 Years","7.7","1.5","DEANDRE","12.2","AYTON","Phoenix Suns | #22 | Center"
"Nigeria","2.0","2 Years","1.8","0.2","UDOKA","52.2","AZUBUIKE","Utah Jazz | #20 | Center-Forward"
"USA","--","Rookie","--","--","PATRICK","-5.3","BALDWIN JR.","Golden State Warriors | #7 | Forward"
"USA","6.8","4 Years","4.2","1.0","MO","10.4","BAMBA","Orlando Magic | #11 | Center"
"USA","13.4","1 Year","6.5","4.9","SCOTTIE","10.4","BARNES","Toronto Raptors | #4 | Forward"
"Georgia","4.5","3 Years","3.4","1.5","GOGA","7.1","BITADZE","Indiana Pacers | #88 | Center-Forward"
"Sudan","11.6","3 Years","7.6","0.6","BOL","14.5","BOL","Orlando Magic | #10 | Center-Forward"
